content,Pelabelan,label
Setelah update versi terakhir di iphone x jadi ngehang dan membuat handphone jadi lemot dan akhirnya force close aplikasi. Mohon segera di perbaiki.,Negatif (-1),1
"5 star for grabfood 1 star for grab car Terlalu banyak driver nolak tapi ga mau cancel, kalau user yang cancel dicariin makin jauh. Dan akhirnya seringnya dapat yang sangat ramah ngajak berantem karena kejauhan pickup ?????? Set feature otomatis cari driver lain kalau driver ga kontak dan ga gerak untuk lebih dari 30 menit instead pinalty yang cancel.",Negatif (-1),1
Aplikasi yg sangat membantu dan banyak diskonnya.,Positif (1),0
Lumayan porsi nya pas,Netral (0),2
Jos gandos,Negatif (-1),1
Telfonnya sering error,Negatif (-1),1
"Pelayanan ramah , cepat ,mobil nyaman",Positif (1),0
Sangat bagus,Positif (1),0
buruk banget layanan nya kecewa! Driver sesuka hatinya saja menaikkan harga ongkos! menambahkan biaya lainlain tanpa sepengetahuan saya! cari uang yg HALAL saja! Layanan pengaduan Grab juga BAD!,Negatif (-1),1
Sangat membantu,Positif (1),0
Saya sudah isi saldo ovo melalui atm transaksi berhasil tapi saldo nya tetap 0 pdhal aku isi 200.000 itu lumayan lg ada keperluan jg duit aku ga bisa balik lagi tolong ya owner perbaiki masalah ovo nya??,Negatif (-1),1
just round it up with VAT bruhhh we're SE ASIANS not AMERICANS this isn't AMERICANA,Negatif (-1),1
"Sebelumnya aplikasi tidsk bisa digunakan, sekarang mau download ga bisa . Kenapa ya",Negatif (-1),1
"Bisa ngga si grab itu ga usah pake mapsnya grab, berkali kali saya terlambat karena dreiver mengikuti arahan maps dari grab. Bukannya menemukan jalan yang cepat yang ada malah muter2 ga jelas, kasihan juga loh para dreiver yang kena omel dari custemer karena di puter2in, mikir lah para dreiver ngga semuanya usia 30 an, banyak yang hampir 50 masih narik. Kecewa sekali, setiap hari saya pake grab dan selalu telat. Dulu ga pernah tuh saya kecewa dengan layanan apl grab sebelum menggunakan fitur maps grab",Negatif (-1),1
Tolong diperbaiki dong kenapa bisa ada laman grabpay setelah akan verifikasi akun ovo nya jadi sulit untuk masuk grab masa harus re-install aplikasinya mulu karena kadang tidak bisa masuk hanya di laman itu-itu saja.,Negatif (-1),1
Mudah,Positif (1),0
Good app,Positif (1),0
maaf tapi service nya lambat dan buruk bgt,Negatif (-1),1
"Sekarang grab ribet lama dan mahal, voucer sudah tidak ada, kalau tiap hari begini tidak memudahkan tapi malah merugikan",Negatif (-1),1
Driver has difficulty to find my location and the route they generate made 0 sense at all and I had to resort to send drafted template and CALLING DRIVER MANUALLY everytime. Such a contradiction for an app thatâ€™s supposed to make life â€œeasierâ€ only to become a burden to both customers and drivers.,Negatif (-1),1
"All time set, said the selection time is not available, tried for 12 hrs in advance, then tried for 15 mns in advance it just dont work. Whatâ€™s the use of it?",Negatif (-1),1
"Buset, udah makin lama kalo pengantaran makanan, makin mahal pula. Kebanyakan tarif ga ada improve apapun!",Negatif (-1),1
terimakasih pak sudah mengantar anak saya dgn selamat,Negatif (-1),1
Sy pernah order grabâ€¦truss sy beri penilaian bintang 1 pada drivernya karna emang pelayanannya kurang dan ada beberapa masalah tapi malah akun grab saya di tangguhkan dan ga bisa di gunakan lagi,Negatif (-1),1
"Dulu sempat berhenti pakai grab karena harganya lebih mahal dari g*jek tapi makin kesini banyak promo yang ditawarkan. Akhirnya saya mencoba menggunakan grab kembali, tapi ternyata driver tidak ada yang terima kalo pakai promo ??",Negatif (-1),1
Mostly driver2 grab bike nya pada racist dan body shaming ke penumpang. Especially driver2 yang suka stay di shelter stasiun. Kecewa banget dan bikin hurt feeling.,Negatif (-1),1
"Mau beli pulsa aja susah banget malah ke landing page grab mulu tolol banget yg bikin aplikasi ga guna, mana gabisa dibalikin duitnya anak haram lu semua",Negatif (-1),1
"Kemarin dapet driver grabexpress pesanan dari klik indomaret, pesanan diselesaikan driver tapi barang entah dimana dikirim drivernya. Driver gak ada ngehubungi, chat atau pun telpon. Tiba2 pesanan diselesaikan dengan poto penerima yang tidak jelas alias ngasal. Pas mau dikomplen ke drivernya udh gak bisa dichat. Mau komplen diaplikasi grabnya malah gak bisa sama sekali",Negatif (-1),1
"Drivernya suka cancel , kadang gabisa dihubungi karna harga terlalu murah padahal sudah nunggu lama",Negatif (-1),1
"Pake grabcar,titik resto di grab beda jauh sama alamat di google map..akhirnya waktu kebuang harus muter jauh",Negatif (-1),1
"Ok, nyaman",Positif (1),0
Sangat aman n nyaman,Positif (1),0
"Saya dpt pengalaman tdk enak hari ini pesan grab food karena pesanan makan siang saya tertukar oleh driver grab, butuh waktu 2 jam utk bisa selesai.

Saya baru tahu klo grab driver bisa pick up 2 pesanan sekaligus dan rentan risiko tertukarnya pesanan pelanggan, dimana saat saya contact grab saya diminta Tunggu dan saat kita bisa contact grab driver susah mekanisme tukeran nya, mau siapa duluan yg kasi makanan nya. SOP nya tdk jelas sehingga butuh 1 customer mengalah., sehingga pesanan makan siang dan makan siang saya telat 2 jam! Utk solusi pertukaran, grab driver bolak balik. 

Saya kecewa dengan ini! Yang saya tau klo kita pesen dgn 1 grab driver saja. Bukan 1 grab driver ambil beberapa pesanan sekaligus.

Jadi untuk menghindari risiko ini, tolong diatur seperti dulu, menghindari driver salah kasi makanan, terutama skrg contact less delivery, makanan di titip di lobby kantor/ apartemen/ dpn rumah di ambil Satpam.",Negatif (-1),1
Saya sudah coba berkali-kali isi pulsa. Tapi malah diarahkan ke web grab. Saya close dan pulsa saya tidak terisi,Negatif (-1),1
"kalo g niat kasih promo hilangin aja liat gojek,ada promo ya bisa d pake.kagak ada ya gak ada.beda ma grab.banyak promo tapi byk g kepakenya",Negatif (-1),1
Harganya makin gak masuk akalllll,Negatif (-1),1
"kenapa tidak ada lagi pembayaran pake saldo.
sangat menyusahkan, apalagi jarang ada uang cash yg pas. pertama kali ngisi 50rb, buat order makanan. padahal ada saldo nya tp kok ditagih lg. setelah di cek ternyata pembayaran tunai. saldo di aplikasi tidak muncul. kemudian ngisi lg 100rb. karena dikira lg gangguan jd saldo tidak muncul. ternyata memang tidak ada lg saldo di grab. padahal saldo di ovo 150rb. jadi mau beliin makanan orang rumah atau jemput anak. yg biasanya, orang rumah tinggal terima aja, kalo posisi saya lg diluar. jadi agak susah.",Negatif (-1),1
"1. Tarif pakai harga coret karena otomatis ada promo, misal dari 12rb jadi 10rb top-up OVO sesuai tarif promo 10rb HARGA NYA TIBATIBA NAIK. Atau PROMO TIBATIBA HILANG tarif kembali 12RB. Karena minimal top-up 10rb dan biaya admin 1rb alhasil harus top-up nominal segitu. Ntah sengaja atau gimana karena ga kejadian sekali dua kali TAPI SERING BANGET. 2. Tarif grabcar yang ngga ngotak naiknya bisa berkali lipat. Yang biasa cuman 25rb jarak 4km jadi 33rb dan ketika hujan bisa sampai 70RIBU. 
3. Customer service yang SULIT DI HUBUNGI. berkali kali selalu â€œsaat ini selurus agen kami sedang sibuk silakan tuliskan keluhan Andaâ€ something like that. 
disappointed. lebih memilih moving app.",Negatif (-1),1
"The whole grouping the nearby deliveries with 1 driver for food os annoying. It keep delaying delaying till the food is soggy and taste like crap. 
You said to improve efficiency, you just miney grabbing corporate try to increas 
E the income through customers orders and driver effort. Thank god there is still GOFOOD aroubd",Negatif (-1),1
Harga makan dan minuman dinaikkan jadi lebih mahal.,Negatif (-1),1
Fake close button. When i hit the close button send me to this app,Negatif (-1),1
enak bangattt,Positif (1),0
"ongkir mahal bgt, beli ongkir gratis makanan??",Negatif (-1),1
Way much BETTER and Cheaper than Gojek ????,Negatif (-1),1
"Call center dichat bales lama, tertulis mohon menunggu 3 menit yg pada realnya lebih dr 3 menit. Penyelesaian kasus pun lama. Diminta menunggu 7 hari kerja untuk pengembalian dana yg terdebet 2 kali, sudah 7 hari kerja lebih dana belum juga kembali. Lagi lagi diminta untuk menunggu. Mungkin tidak ditindak lanjuti dg benar dan sungguh2 ya kendalanya",Negatif (-1),1
"Suka sama grab, selain mudah digunakan, juga sangat mudah dimengerti. Dan banyak promo digrab thankss",Positif (1),0
Sudah 3x dibatalkan oleh driver pdhl lg urgent ke RS!!!,Negatif (-1),1
"Suka banget semenjak ada gram sangat memudahkan dan membantu 
Dikala malas buat keluar tp perut lapar grabfood sungguh berjasa??",Negatif (-1),1
Stop group order makanan a s u,Negatif (-1),1
Please let us choose what kind of payment customers like to use for tipping the driver..,Negatif (-1),1
Sangat membantu????,Positif (1),0
"Kok akun saya error dan ditangguhkan sih
Dasar grab aneh, padahal gk pernah melakukan kesalahan dan pelanggaran
Mengecewakan banget",Negatif (-1),1
Enakkk dan porsi banyak,Positif (1),0
Sudah 3x menggunakan aplikasi ini sepertinya titik maps nya kurang akurat dan tidak sesuai. Sangat menyusahkan. Tolong diperbaiki,Negatif (-1),1
Ok,Netral (0),2
"Aplikasi taik, fucek",Negatif (-1),1
Bagus,Positif (1),0
"Panas2, males makan, pengen cari cemilan sore yg lebih ok dari gorengan, asinan buah dan asinan kuah seger banget. Pake bumbu juga ok",Negatif (-1),1
Terlalu lama menunggu pesanan,Negatif (-1),1
Often cannot access anything. Need to close and reopen the app several times for it to function ??,Negatif (-1),1
"susah dihubungin, padahal
penting! udah habisin banyak pulsa, tetep ga terhubung sama customer service-nya!!!",Negatif (-1),1
Keren. Tambah canggih,Positif (1),0
"Nyari menu grab express gak ketemu2, mau ngirim dari luar kota.",Negatif (-1),1
"Masak iya udh berapa nomor akunnya ditangguhkan semua gk becus,ngasih titik juga nggak sesuaiiiiii jelek",Negatif (-1),1
Good like,Positif (1),0
Katanya kalau udah berlangganan bakal dapat gratis ongkir tyt eh tyt harga masih tetap dan  g berkurang sedikit pun â€¦yg ada duit malah rugi buat bayar berlangganan..mau pakai app sblh Tp lg di desa yg mana belum ada app sblh ??,Negatif (-1),1
"Gila nih aplikasi, gue mau beli obat disuruh save alamat lagi, Ribet amat kutak kutik ga bisa di save padahal gue pesen makanan gampang",Negatif (-1),1
Belakangan ini dapet driver selalu yang jauh banget dan lama banget,Negatif (-1),1
Service excellent,Positif (1),0
Good friendly driver,Negatif (-1),1
Easy,Positif (1),0
"Pakek grabfood lama banget sampe padahal jaraknya gak jauh banget gak kayak jakarta ke bogor tapi lama banget sampe, trus fitur bisa ngambil makanan dan customer lain juga bikin gak nyaman, bilin makanan lama nunggu, jam makan siang sampe lewat, BAD !!!",Negatif (-1),1
Tolong di tindaklajuti driver atas nama Rikha tara dengan no telp +62 813-5376-7160. utangnya dimana-mana. Dia sempat berani menggadai mobil perusahaan grab yang dia sewa. Terima kasih.,Negatif (-1),1
"Gara2 driver bs terima beberapa orderan makanan, jadi nya suka salah2 kirim, dan akhirnya telat.
kalo udah telat gitu makanan udah ga hangat lagi. bahkan ada yg udah dibuka makanannya sama penerima yg salah terima! 
parah bgt sih sistem ini!",Negatif (-1),1
kurang jauh apa ku naro driver buat jemput gue? sampe titik driver yang mau jemput udah dekat tujuan gue,Negatif (-1),1
Membantu sekali,Positif (1),0
Ga bakal lgi make aplikasi ini,Negatif (-1),1
"sudah berkali kali paket saya selalu salah alamat/tertukar dengan barang lain. ini sudah tidak benar, kenapa bisa berkali kali seperti ini padahal 1 driver 1 orderan dan setiap orderan sudah mempunyai alamat dan invoice yang jelas. tolong di perhatikan soal ini, ini salah dari driver nya atau aplikasih nya yang sudah ngaur",Negatif (-1),1
sangat membantuu,Positif (1),0
Saran untuk menuliskan berat (gram/kg) pada makanannya ya tks,Negatif (-1),1
"Semenjak ada double order jadi ga suka pesen makanan pake aplikasi grab, pesenanan datang lama & saya sudah lapar jdi timbul emosi",Negatif (-1),1
Sekrng ko grab ongkirny mahal bgt mana ga ad voucher gratis ongkir ishhh jdi ga mau order lgi kygini klo mahal trus,Negatif (-1),1
Pas di buka mantul sendiri. Sering keluar keluar sendiri. Yang versi baru nya,Negatif (-1),1
"Promonya gak sebanyak dulu ??dari dulu aku selalu pesan grbfood di grab karna promonya selalu lebih besar dari pada go food , sekarang pas aku bandingin ,. Malah kdang gedeaan promo go food , plisss kembalikan promo promo yg dulu",Negatif (-1),1
"Tolong dong kalo misal resto tutup driver bisa membatalkannya dengan cara mengirim bukti foto, kan kalo misal resto tutup customer jg yg repot karna pihak driver nya gak mau batalin, apalagi kl status nya dh di buat, saya sudah ngalamin hal kayak gini lbh dr 3x ya, dan itu cukup membuat saya muak, sekian dari saya, bintang 2 sj sudah cukup ya kak",Negatif (-1),1
"Cari titik map susah , harga naik jauh banget",Negatif (-1),1
"Apps nya force quit terus, perlu di fix",Negatif (-1),1
Saya beli plan untuk diskon ongkir dan promo2 tapi ga bisa dipake. Nipu!,Negatif (-1),1
"Fitur chat pada aplikasi error. Saya tidak bisa menggunakan fitur tsb, anehnya penggunaan fitur chat di aplikasi, hp, yg sama bisa di gunakan di luar negeri. Namun di indo ga bisa. Tolong segera di perbaiki",Negatif (-1),1
"Bad search engine. I donâ€™t know why you guys decide to show up unrelated closed restaurant on categories / search results. Meanwhile in other apps, they didnâ€™t show up the closed list on the search results. Which is very helpful for us to browse restaurant near us Also the sorting order is not quite right, unlike other app. Hopefully it will improved",Negatif (-1),1
"Grab mart lama banget yang pick up, bukan cuma saya temen temen yang lain juga, niat mau hemat waktu malah makin buang buang waktu buat nunggu driver buat pick up, lapor ke cs malah suruh batalin terus order lagi, giliran order ulang malah makin lama, buang buang waktu banyak, ngehubungin cs kedua kali malah dialihkan ke telfon terus, sampah banget gak nemu solusi sama sekali, niat mau cepet malah nambah buang buang waktu, padahal pesan bukan di jam jam yang rame, bahkan cuaca juga gak ujan gak badai, tapi gak ada sama sekali driver mau pickup udah sejam respon cs juga mengecewakan gila sih, gak lagi lagi pake grab mart kapok banget",Negatif (-1),1
The most useless support,Positif (1),0
Cepat dan supirnya komunikatif,Positif (1),0
di tailan bisa pake grab car keren dah berasa kayak di Indonesia hehehe,Negatif (-1),1
"Tolong adakan fitur hide pengemudi setelah selesai perjalanan. Karena kalo saya ngasih bintang1, di kemudian hari saya pasti kemungkinan ketemu dia lagi krn saya pake tiap hari.",Negatif (-1),1
"kdg drivernya ga bs dichat keterangan diaplikasi maaf sedang ada masalah coba lagi coba lagi, kdg kan kita mau minta sesuatu jg kyk extra saos dsb jd susah kalo gtu mulu",Negatif (-1),1
"kebiasaan sekali pakai grabmart dengan metode bayar debit, uang sudah diserahkan semua sesuai total nominal belanja dan ongkir dll, tapi giliran ada barang yg kosong, pengembalian dana ke rekening lama sekali udah 4 hari masih belum dikirim ke rekening saya, kecewa lah saya gamau pake aplikasi ini lg. padahal saya udah member platinum di grab ini. (update tgl 29, stlh orderan dari tgl 17 sampai sekarang pihak grab tidak mau bertanggung jawab mengembalikan uang saya untuk pembelanjaan grabmart yg stock barangnya habis, aplikasi sebesar ini masih maling dana customer 75ribu ga bertanggung jawab, cs gak berguna bolak balik minta statement rekening ga solusi)",Negatif (-1),1
"Sdh komplen lewat app malah di akhiri obrolan secara spihak padahal belum menemukan titik terang, lewat email pun kata2 nya copas itu2 doang gak ada kejelasan sama sekali",Negatif (-1),1
Drivernya ramah baik,Negatif (-1),1
"Dari jam 5 sampai jam 6 hampir jam 7 malam, susah dapat driver ??",Negatif (-1),1
Cacat,Negatif (-1),1
"Gara2 grup order suka error di aplikasi muncul notif driver sudah sampai padahal belom ada. Tolong diperbaikiii dan fitur call juga suka error, udah pencet tombol angkat tp malah ga keangkat terus otomatis muncul â€œyou missed a callâ€ gajelas bgt. Mohon dibenerinn.",Negatif (-1),1
Driver sampah motor rusak semua saya sebagai penumpang merasa tidak nyaman,Negatif (-1),1
"udh 3x berturut di complain sama driver grgr katanya maps nya ngarahin gak bener, jalan buntu dibuat bisa jalan dan bikin driver bingung. sedangkan saya udh nyesuain titik sesuai dengan rumah saya. Tolong dong diupdate lagi utk maps nya kalo kaya gini kasian driver nya, saya jg yg kena omelan driver pdhl udh sesuain dengan titik rumah!",Negatif (-1),1
Tolong segera perbaiki,Negatif (-1),1
"BUKAN NYA KITA MAU BATALIN ORDER Tapi Driver grab itu sering banget minta di cancel ga tau kenapa, apalagi grabbike. Kalo ga kita batalin mereka nya ga mau pickup, ga mau cancel, order dibiarin gitu aja Banyak alasan! Kalo emang mau buat suspend customer, jangan buat auto pickup untuk driver nya-!!! Biar driver yg pick up benar2 yang mau ambil. Kalau secara kualitas, GOJEK jauh lebih bagus dari grab. Cuma, grab itu kayak lion- murah dan banyak promo. Jadi mau ga mau banyak orang pake :) Lebih baik pakai gojek, produk anak bangsa",Negatif (-1),1
"semenjak update ga bs add promo error, dan subscription jg ga bs",Negatif (-1),1
Terimakasih banyak om,Positif (1),0
Ini masa aplikasi kalah canggih ama gojek yg bisa real time cek posisi driver kalo pengiriman sameday di ecommerce kuning ckckck auto apus apps gak guna,Negatif (-1),1
"Bintang satu, order grab food makanannya di kirchen terus. Gabisa chat or call bahkan cancel. Di kitchen udah satu jam.",Negatif (-1),1
Great & helpful apps ????,Positif (1),0
"Males bngattt skrg install grabb harus susah payah untuk munculin icon motor dan mobil ribetttt, buang buang waktu , tahun ketahun bukan malah mempermudah malah ngeribetin",Negatif (-1),1
Sangat buruk call center tidak dapat di hubungi tak langsung mendapat kejelasan bila kita ada trouble dalam orderan,Negatif (-1),1
"This is an objective feedback for grab team,

Grabfood order is combine with other people order which makes my order keep delayed - driver is dependant with the other order and wait long time,

Iâ€™ve been using grab for many years and aware with this process you guys are making more profit but decreasing the quality,

I feel sorry for the driver that might got push & complain from other order due to this bad process on combining multiple orders,

Considering to move to competitor for this services - pls fix this & consider the quality of the services.",Negatif (-1),1
bisa bisanya center nya offline,Negatif (-1),1
"Saya pesan grabfood harga total 35K
mengapa saldo ovo saya terpotong 60K? 
Ada screenshotnya.
haduh gimana sih grab",negatif (-1),1
"Saya pesan makanan, datangnya ga lengkap, tapi Pihak Grab hanya memberikan solusi pengembalian uang

Seharusnya ada solusi pengiriman kembali makanan yg kurang",Netral (0),2
"Tanggal 24 april 2023 sekitar jam 20:00 saya pesan steak wagyu tapi yg saya terima ayam ! Sya telp restonya diinfokan tertukar oleh drivernya grabnya karna bawa 2 pesanan, ajukan complaint lewat aplikasi grab tidak terkirim..malas make lagi ni aplikasi.",Negatif (-1),1
Good ya good,Positif (1),0
Saat order selalu order gabungan. Padahal di app tulisannya restoran nya yg sedang rame padahal driver pun belum sampe restoran dan masih ngantri tmpt lain. Lama sekali sampe nya,Negatif (-1),1
Pesan makanan jam 20:45. Sementara resto sudah menyiapkan makanan tetapi driver 2x cancel pesanan. Sedangkan tidak ada fitur chat admin untuk menyalurkan keluhan tersebut. Kasihan resto yang harusnya mau tutup tapi gara gara driver 2x cancel jadi menunggu. Customer juga menunggu terlalu lama,Negatif (-1),1
"Mesen grabfood titiknya masih jauh 2km lagi di apk driver udh sampe otomatis gw jemput drivernya soalnya di arahin Abang grabnya malah minta tambah ongkir, pas di lihat di apk drivernya alamat nya udh bener tapi Maps nya ngaco",Negatif (-1),1
"this app was really usefull, i like it ??????",Positif (1),0
"Pesan cakwe minta yg masih panas, begitu sampai sdh melempem. Krn Driver nya di â€œpaksaâ€ ambil orderan di resto lain setelah pick up cakwe. Yg ada Cakwe di bawa nunggu. 2 menit lagi pas 1 jam dr keterangan out of delivery. Mau kasih bintang 1 kasihan Driver nya karena yg salah syatem Grab yg â€œserakahâ€",Negatif (-1),1
Ongkir jangan terlalu mahal dong. Thanks,Negatif (-1),1
"The previous driver doesnâ€™t move his car without Any explanation, Comments or answering my chatt. Then Grab sent another excellent driver",Negatif (-1),1
"Coba deh, titik nya tuh seolah2 ada 2, ada garis berhenti ada juga titik sebenernya. Yang bikin pusing driver tuh mereka anggap garis berhenti tuh jadi titiknya pdhl beda banget antara titik sebenarnya dengan garis berhenti ini. Ini udh terjadi lebih dari 4 bulan. Malesin lama2.",Negatif (-1),1
"gabisa cencel orderaan padahal restonya tuutuup saldo udh kepotong udah cht pusat bantuan stafnya pada lebaran-,",Negatif (-1),1
Kembalikan lagi sistem hilang account untuk driver yang minta cancel,Negatif (-1),1
"dpt resto yg lg tutup, tapi di app gak ditutup, akhirnya sama driver dicancel, tp di app langsung auto search driver baru, dicancel lg, cari lagi, never ending loop. udh ga ada tombol cancel, mana call center operasionalnya ga 24 jam padahal app active 24jam???? udh gitu saldo kena hold gabisa langsung kembali????? parah amat sih sistemnya, gak responsif banget ama pelanggan??",Negatif (-1),1
"Saya tulis review panjang dengan kronologi dan gak masuk2 sudah diulang2 gak terpost2 begitu kasi bintang 1 aja tanpa keterangan lgsg masuk, dan ini coba review lagi untuk booking order A-4RDCB4DGWJRN dari Pavillion Mall ke apartemen hanya 900 meter dan HP karena keburu masuk ditarik ke kursi di antara kedua kaki saya ( duduk sebelah sopir ) karena istri dan anak duduk belakang. Baru naik apartemen sekitar 7-10 menit sadar kalau HP tertinggal dan berusaha hubungi lewat help SUPPORT lama dan putar2, gak bisa log in jelas krn kirim 6 kode angka ke HP yang tertinggal. Akhirnya ingat kalau bisa cek receipt By email dan coba reply lewat email, dan jawaban hanya klise By bot , lalu coba kontak help center lewat apps di hp istri sayaâ€¦â€¦ singkat kata bisa chat ke admin dan berputar2 krn bukan user yang bersangkutan yang melaporkan , dan bertele2 krn mau saya call untuk memastikan ( kebetulan belinya sim card data roaming jadi gak bisa call confirm ke link yg dimau, coba pinjam nomor lokal dan susah call juga. Singkat kata baru diulang ulang chat baru admin baru dikasi nomor Driver setelah hampir 2 jam dan hanya dijawab ga ada , kalau misal pun ada bisa diambil penumpang lain sudah 20x terima orderan lain dalam 2 jam? ( pdhl hp tertinggal di kursi depan , beda kata kalau tertinggal di belakang , itupun kalau ada barang tertinggal di belakang mustinya Driver juga seharusnya bisa Lost n Found ) Akhirnya coba pakai apps Find my Device dan lihat kalau Device sedang jalan jalan kayak Grab Car yg jemput sana sini. Di apps Find my Device ada pilihan untuk membunyikan HP keras keras selama 5 menit dan hanya dalam 7 detik an aja HP sudah dimatiin ( artinya sudah disadari ditemukan orang ) , kami ikuti selama 30 menitan terus bergerak seperti Grab Car antar jemput penumpang dan sudah di foto saat chat help center dan melihat ini lgsg admin melempar suruh kami lapor kepolisian ( perlu dipahami sini adalah turis di Malaysia , kenapa sistem apps start UP canggih penuh GPS gak bisa sinkronkan pergerakan di Find mY Device dengan melacak posisi Driver ) Akhirnya melempar kejadian ini ke kepolisian , seharusnya Apps Brand sebesar Grab membantu mengatasi hal ini. Sampai saat ini hp yg terlacak sudah dimatikan oleh penemunya. Dan gak ada solusi yang baik dr pihak Grab , hanya melempar kejadian di posisi penggunaan aplikasinya aja tanpa tanggung jawab.",Negatif (-1),1
"CS memberi solusi cancel, tapi item tetap dikirim driver & tagihan tetap harus dibayar.
MENGECEWAKAN.",Negatif (-1),1
"My sister just have an issue because driver not responded. She want to cancel the order, but the grab service felt like make it difficult. â€˜Want to check blabla, through email blablaâ€™. After years using grab, this is the worst service that we received. Extra one star for your service so far",Negatif (-1),1
Kebanyakan error,Negatif (-1),1
"lama lama jelek banget sumpah, mau batalin pesanan gbs, driver jg gabisa batalin pesanan, kyk gini kan jd nyita waktu.",Negatif (-1),1
"saya sudah biasa bepergian ke rumah ibu saya menggunakan grab, dengan rute pada umumnya, entah kenapa hari ini rutenya jadi memutar jauh sekali sehingga tarifnya pun bertambah. padahal jalan biasanya juga sedang tidak ada hambatan apapun, tidak ada perbaikan apapun.",Negatif (-1),1
"Pesan grabexpress udah 4 kali ganti driver dari sistem, mau di cancel ga bisa, tapi driver2nya gak mau cancel sndiri, saya jdinya nunggu lama bgt untuk di cancel.

Masalah drivernya oke bukan dri grab, tapi sistemnya yg ga bisa di cancel padahal udah nunggu lama, driver gak bisa di contact, gak mau jalan juga.",Negatif (-1),1
"Wah parah sih Grabfood udh makin mahal terlebih lagi ada pilihan pengantaran yang menurut saya tidak masuk diakal harganya dan tidak berpengaruh juga milih cepet dan lama sama aja sampenya. Terlebih lagi Call center tidak bisa membantu ketika saya tiba2 mau cancel Makanan,respondnya lama keburu Makanan saya diambil sama Drivernya jd tidak jadi cancel. Tolong adain Fitur Pembatalan Pesanan di Grabfood kalau Call Center tdk bsa membantu. Dan harganya tolong dikondisikan!",Negatif (-1),1
"Salah satu japanese restaurant terbaik di mataram, favorit istri saya salmon sashimi",Positif (1),0
Pengguna kurang nyaman karena haris ada veryfikasi wajah,Negatif (-1),1
aplikasi ga jelas sumpah,Netral (0),2
"Grab sangat membantu sekali, pelayanan/ service sangat baik, membantu saat order makanan atau mengantar2",Positif (1),0
Mengecewakan,Negatif (-1),1
Gajelas bagt aku hbis isi saldo 150k tapi gk muncul sama sekli saldonya di grab pdhal transaksi aku berhasi,Negatif (-1),1
Praktis ada go good lebih mudah nyaman,Positif (1),0
"habis update potongan voucher yang kita pilih tidak kepotong, semoga bisa cepat normal kembali seperti semula",Negatif (-1),1
"Ini bagaimana sih
OVO saya verifikasi malah error sama voucher grabfood gak bisa digunain dengan tunai 
Padahal Kemaren aja normal
Gimana sih grabfood
Tolong agar diperbaiki kendalanya terima kasih",Negatif (-1),1
"Grab, mulai tambal bugs kepada para konsumen. Diantaranya; 1.Menaikan Tarif 1.98 x secara serentak diseluruh daerah dengan anggapan semua daerah itu hujan. 2. Grab Food dingin vs Panas dalam 1 driver. Hasilnya yg pesan dingin terima dalam keadaan panas, sedangkan yg pesan panas terima dalam keadaan dingin. 3. Masih mau Double order konsumen juga? 4. Kelanjutan Safety Riding? Mau dilanjutkan? Sebaiknya perbaiki ya",Negatif (-1),1
"Maaf ya kali ini sy kasih bintang 2, karena responnya lambat, sering banget dapet driver yg lambat juga, dan toko yg awalnya buka ketika sudah pesan ternyata tutup. Ngga tau itu yg bermasalah tokonya apa sistem grabnya yang Buruk. Semoga tulisan ini dibaca dan masalah2 seperti itu segera teratasi",Negatif (-1),1
"Status pesanan sedang disiapkan, menurut driver resto tutup",Negatif (-1),1
"Sudah berkali kali baik pake app saya atau pny suami kalo order food pasti drivernya ngedobel tempat lain. Padahal pilihan sdh paling cepat bukan tg regular. Terus kalo pilih yg ekonomis beuuuuuh lama bgt siap2 aja lo bakal kelaparan.  Makanan keburu dingin, es jg keburu meleleeehâ€¦..

Promo2 juga seret, udah ga kaya dulu lagi. Males pake nya sekarang mah ama ni app.",Negatif (-1),1
"Driver mobilnya bnyakan milihâ€ entah karna promo atau apa susah bngt nyarinya selalu di batalin sma driver car nya.. padahal jarak juga gk terlalu jauh, nungguin kang driver car aja sampe jamuran",Negatif (-1),1
Sekarang biaya ongkos mahal grabfood belum lagi  ada pilihan pengataran wahh gila itu mah tambah mahal,Negatif (-1),1
Sangat membantu banget,Positif (1),0
aplikasi bagus,Positif (1),0
"Bingung ada fitur help center tapi sama sekali gak membantu. Diem aja tuh si help center. Penanganan lama, gak solutif, kasih nomor driver bukannya dicek nomornya aktif  apa gak. Gak guna lo kasih nomor driver, emang driver lo penipu",Negatif (-1),1
"Driver terlalu pemilih, udah nunggu lama eh malah dbatalin terus udah gak bagus pelayanannya",Negatif (-1),1
"Dari semua apps transportasi online yg ada di indo, customer service Grab yg paling bagus, cepat tanggap, 24jam, dan problem solved. Aku sampai hapus apps lain dan hanya pakai Grab aja krn gk khawatir kalo ada mslh pasti selalu bisa di kontek cs nya. Beda sama apps G***k, pengembalian dana aja bisa sampai 2bulan lbh itu pun harus ratusan email dulu aku spam baru di tanggapin. Grab the best!!!!!!! Grab ter luvvv bgt!!!",Positif (1),0
Percuma telp call center. Tidak membantu. Pelayanan parah????,Negatif (-1),1
lbih praktis,Positif (1),0
kecewa bgt pusat bantuan grab gada gunanya!,Negatif (-1),1
"5 out of 5, would order from here again",Positif (1),0
