,Original,Summary
1666,Membantu proses pencarian barang pembelian,Membantu proses pencarian barang pembelian
1667,Cepat,Cepat
1668,Okey,Okey
1669,gooddd,gooddd
1670,recommended market place User friendly seller buyer love Toped,love Toped
1671,app userfriendly easy use Plenty choices include items well recommended storessellers payment methods price vary meets buyer need mention numerous promos discounts Keep amazing work Tokopedia,mention numerous promos discounts
1672,produk bangsa indonesia dimana belanja mudah aman semoga amanah kualitas kinerja,produk bangsa indonesia dimana belanja mudah aman semoga amanah kualitas kinerja
1673,Penjual responsif,Penjual responsif
1674,Fitur mudah,Fitur mudah
1675,Aplikasi belanja OL yg bagus,Aplikasi belanja OL yg bagus
1676,Mantappss,Mantappss
1677,smoga amanah terpercaya,smoga amanah terpercaya
1678,biaya tambahan,biaya tambahan
1679,membantu belanja online aman pembeli penjual,membantu belanja online aman pembeli penjual
1680,Fast responsive helpful,Fast responsive helpful
1681,Penjual terseleksi dgn bagus,Penjual terseleksi dgn bagus
1682,Appikasi Friendster,Appikasi Friendster
1683,Skrg dgn service fee 2000 transaksi harga barang dgn beli supermarket,Skrg dgn service fee 2000 transaksi harga barang dgn beli supermarket
1684,suka banget aplikasi nya bagus barang yg dijual lengkap,suka banget aplikasi nya bagus barang yg dijual lengkap
1685,Usefull apps,Usefull apps
1686,Simple application,Simple application
1687,Update cepat,Update cepat
1688,Pokoknya keren,Pokoknya keren
1689,Jos keren usefull,Jos keren usefull
1690,Nice apps make enjoy shopping,Nice apps make enjoy shopping
1691,Keren,Keren
1692,Midah nyaman enak yg newbie,Midah nyaman enak yg newbie
1693,Mantapp semoga kedepan ok,Mantapp semoga kedepan ok
1694,Tokped topcer,Tokped topcer
1695,tokopedia terbaik,tokopedia terbaik
1696,Terima kasih membantu penjualan,Terima kasih membantu penjualan
1697,Good app lightweight responsive UI also easier marketplace app,Good app lightweight responsive UI also easier marketplace app
1698,Bukalapak,Bukalapak
1699,Mantap,Mantap
1700,Ntap,Ntap
1701,Aplikasi Online Shop Okeeee,nan
1702,aplikasi yg berguna utk belanja pandemi,aplikasi yg berguna utk belanja pandemi
1703,Tampilan ipad oke enak browsing,Tampilan ipad oke enak browsing
1704,Always easy find needs,Always easy find needs
1705,coba tokopedia terbaik,coba tokopedia terbaik
1706,Mantab bgt pake tokped,Mantab bgt pake tokped
1707,Top markatop,Top markatop
1708,Always update diskon,Always update diskon
1709,Great help,Great help
1710,Biaya jasa aplikasinya sih 2000 transaksi gratis ongkirnya gabisa 0 rupiah gituu,gratis ongkirnya gabisa 0 rupiah gituu
1711,Mantap tokopedia sukses,Mantap tokopedia sukses
1712,Best marketplace apps indonesia,Best marketplace apps indonesia
1713,Cihuy cepet ga pake,Cihuy cepet ga pake
1714,Delivery time thanks suppler Gojek Kualitas dr barang bagus tokopedia fast easy apps use,tokopedia fast easy apps use
1715,Biarkan bintang berbicara,nan
1716,Okay,Okay
1717,Tokopedia,Tokopedia
1718,app super cool super easy help life much shopping experience,app super cool super easy help life much shopping experience
1719,Belanja enak layout nya keren mudah cuman kebanyakan iklan fitur video macem2 kayaknya berguna ngeganggu,Belanja enak layout nya keren mudah cuman kebanyakan iklan fitur video macem2 kayaknya berguna ngeganggu
1720,Bintangnya full sayangnya IOS aplikasi tokopedia seller,Bintangnya full sayangnya IOS aplikasi tokopedia seller
1721,Fitur filternya top banget mudah sesuai kebutuhan Hasil pencariannya akurat,Hasil pencariannya akurat
1722,satisfying easiest apps use,satisfying easiest apps use
1723,berlangganan,berlangganan
1724,Tokopedia bikin hidupku mudah belanja dimana aja,Tokopedia bikin hidupku mudah belanja dimana aja
1725,Tokped app mebantu mencari kebutuhan sehari Semoga depannya tambahan fitur yg gampang membantu konsumen mencari barang kebutuhannya,Semoga depannya tambahan fitur yg gampang membantu konsumen mencari barang kebutuhannya
1726,Easy shopping,Easy shopping
1727,Bayar tagihan keren praktisnya,Bayar tagihan keren praktisnya
1728,best,best
1729,Gatau common aja belanja via tokped,Gatau common aja belanja via tokped
1730,pesanan 2021 kebelakang ilang gini banget ya yg digadang2 marketplace 1 indonesia,pesanan 2021 kebelakang ilang gini banget ya yg digadang2 marketplace 1 indonesia
1731,Habibie,Habibie
1732,Boats admin Promo,Promo
1733,memudahkan aplikasi sangar,memudahkan aplikasi sangar
1734,Almost everything online shopping use Tokopedia apps Warranty insurance 2 things like,Warranty insurance 2 things like
1735,membantu fasiltas instant nya,membantu fasiltas instant nya
1736,Mempermudah proses belanja dimasa pandemi cape2 cari barang ditempat Nyaman mudah,Nyaman mudah
1737,Best online app,Best online app
1738,Easy shopping reliable support user friendly good environment make transaction,Easy shopping reliable support user friendly good environment make transaction
1739,Cepat balasan,Cepat balasan
1740,Top aplikasi,Top aplikasi
1741,Tokopedia helps us find stuffs,Tokopedia helps us find stuffs
1742,aplikasi gk profesional msh muncul iklan toko yg blokir tokopedia pengiriman gk sesuai estimasi kynya byk toko dropshiper yg baru2 label yg dropshiper distributor penjual asli jd pembeli gak dirugikan,kynya byk toko dropshiper yg baru2
1743,Easy use,Easy use
1744,Mantap looooo,Mantap looooo
1745,laku,laku
1746,Tinggal buka aplikasi pilih barang2 yg liat2 harga tentukan pilihan Belanja mudah nggak pakai repot,Belanja mudah nggak pakai repot
1747,milih tokped gk biaya transaksi nya skrg Promo cashback milih salah ongkir cashback,milih tokped gk biaya transaksi nya skrg Promo cashback milih salah ongkir cashback
1748,store within two thumbs away,store within two thumbs away
1749,Pembayaran transaksi genggaman menghemat pembayaran,menghemat pembayaran
1750,Tampilan toko kemudahan berbelanja kemudahan berjualan kemudahan bayar tagihan promo nya membantu tokped aja Sukses,Sukses
1751,Mudah interaktif,Mudah interaktif
1752,proses mudah cepat,proses mudah cepat
1753,Maju,Maju
1754,Puasssss,Puasssss
1755,Ecommerce favorite always,Ecommerce favorite always
1756,Nice Job,Nice Job
1757,Senang bebas ongkirnya,Senang bebas ongkirnya
1758,,
1759,Ux nya oke Ui tp udah,Ui tp udah
1760,pilihan,pilihan
1761,Semangat karya anak Indonesia,Semangat karya anak Indonesia
1762,Orderan sesuai pesanan,Orderan sesuai pesanan
1763,Aplikasi belanja online berguna Penggunaannya gampang jual beli tinggal klik suka dgn aplikasi cashbacknya Lafff laffff laffff,cashbacknya
1764,,
1765,Good Thanks tokopedia,Thanks tokopedia
1766,Cepat lugas,Cepat lugas
1767,Ga ga puas belanja ga kena tipu2AlhamdullilahTerima Kasih Tokopedia _,_
1768,berkualitas,berkualitas
1769,Mantabh,Mantabh
1770,Fast secure,Fast secure
1771,Dr sekian byk nya online shop tokopedia yg biaya aplikasi Rp2000 biaya jasa Rp1000 pembayaran gopay pembeli online shop bs mencari hrg termurah beda Rp1000 tp dgn bya biaya aplikasi tambahan biaya jasa jd mikir2 cm sekedar saran aja keuntungan dr potongan toko merchant udah tp knp msh lg dgn biaya pembeli Thx,Thx
1772,Aplikasi jualbeli online salah terbaik indonesia,Aplikasi jualbeli online salah terbaik indonesia
1773,Goooddd,Goooddd
1774,Bagusbdan Cepat,Bagusbdan Cepat
1775,Top banget,Top banget
1776,Oke bingittt,Oke bingittt
1777,Cepat aplikasinya,Cepat aplikasinya
1778,Tokopedia salah platform ecommerce yg mudah sellernya terpercaya,Tokopedia salah platform ecommerce yg mudah sellernya terpercaya
1779,Biaya lainlainnya,Biaya lainlainnya
1780,joss,joss
1781,Berkualitas,Berkualitas
1782,Cepat barang lengkap,Cepat barang lengkap
1783,ok Tokped,ok Tokped
1784,gampang dipakai aman,gampang dipakai aman
1785,diskonnnn,diskonnnn
1786,Cocok menu nya,Cocok menu nya
1787,buka toko Tokped krn peraturan toko orange meresahkan bund Cek toko ishopdotid yaa,buka toko Tokped krn peraturan toko orange meresahkan bund Cek toko ishopdotid yaa
1788,satisfied Toped give promo pls Hehe thank keep good work,give promo pls
1789,Pertahan update Ios sumpah suka Banget Ama Tokped,Pertahan update Ios sumpah suka Banget Ama Tokped
1790,Mempermudah qta dom pembyran pajak,Mempermudah qta dom pembyran pajak
1791,nice good use app,nice good use app
1792,Mantab lii,Mantab lii
1793,Simple membantu,Simple membantu
1794,Respon cepat pengiriman cepat,Respon cepat pengiriman cepat
1795,well built app,well built app
1796,enak dipake cuman gratis ongkirnya jalur darat bgt sampenya app suka crash kalo upload video unboxing jasa app gede,enak dipake cuman gratis ongkirnya jalur darat bgt sampenya app suka crash kalo upload video unboxing jasa app gede
1797,Komplit cari aj sukaaa,Komplit cari aj sukaaa
1798,mantap bnr,mantap bnr
1799,Userfriendly easytouse Thx,Thx
1800,Chd,Chd
1801,Mantep bener dah tokopedia,Mantep bener dah tokopedia
1802,Biaya aplikasi 23rb transaksi penanganan tokopedia care lambat sembarangan FIRST Service layanan prioritas Tokopedia Care JIJIK,FIRST Service layanan prioritas Tokopedia Care
1803,Belanja mudah tp keseringan ganti ganti tampilan ya familiar dgn tampilan yg sdh,Belanja mudah tp keseringan ganti ganti tampilan ya familiar dgn tampilan yg sdh
1804,Easy use good price beautiful interface design,Easy use good price beautiful interface design
1805,Yg berinovasi kenyamanan custumer,Yg berinovasi kenyamanan custumer
1806,Aplikasi ecommerce andalan,Aplikasi ecommerce andalan
1807,ngubek2 mal belanja mencari barang yg dibutuhkan Sistem pembayaran ribet tinggal pilih sabar tenang memilih barang metode pembayaran,sabar tenang memilih barang metode pembayaran
1808,Tokopedia place buy Indo online,Tokopedia place buy Indo online
1809,Tokopedia dipercaya servicenya bagus,Tokopedia dipercaya servicenya bagus
1810,Banyakin kupon diskon tokped cinta banget pilihan pembayaran aplikasinya gampang digunain ga nge bug,cinta banget pilihan pembayaran aplikasinya gampang digunain ga nge bug
1811,guud banget ditingkatkan lg keranjangnya biar muat banya bgt,guud banget ditingkatkan lg keranjangnya biar muat banya bgt
1812,Kereeeeen,Kereeeeen
1813,Super Easy simple,Easy simple
1814,simple,simple
1815,bought product tokopedia easily sold tokopedia hard bring costumers productitem sold ca nt show push product auto topads ca nt success,auto topads ca nt success
1816,Aplikasinya mudah,Aplikasinya mudah
1817,Kecewa banget tokopedia kerja promotor abal abal penipu acara loudlive batal janji refund 30hk promotor udah 6 dana tiketing tokopedia membantu bedanya penipu kalo kayak gini Cepat bantu refundnya 12 hilang gitu aja cari uang gampang,Cepat bantu refundnya 12 hilang gitu aja cari uang gampang
1818,chdjgickgJfzylxluxlyzhldktzyodoyxhlzhlsitsykskyaitsitsoysoysyodpydyksoy yoduldyldl tisoyskts,chdjgickgJfzylxluxlyzhldktzyodoyxhlzhlsitsykskyaitsitsoysoysyodpydyksoy yoduldyldl tisoyskts
1819,membatu sekaliiiii,membatu sekaliiiii
1820,beli barang Tokopedia memuaskan klo beli original yg original,beli barang Tokopedia memuaskan klo beli original yg original
1821,always use app online shopping easy use safe,always use app online shopping easy use safe
1822,Lengkap pilihan2 bagus,Lengkap pilihan2 bagus
1823,application everything need however sometimes gets slow iPhone,application everything need however sometimes gets slow iPhone
1824,gak repot repot,gak repot repot
1825,biaya layanan biaya aplikasi kemahalan,biaya layanan biaya aplikasi kemahalan
1826,Bagus,Bagus
1827,mudah,mudah
1828,recommended,recommended
1829,membantuuuuu,membantuuuuu
1830,Gratis ongkir bermanfaat Terimakasih,Terimakasih
1831,Sukses,Sukses
1832,Easy fast,Easy fast
1833,Usul biaya transaksiditurunkan 1000 rp transaksi,Usul biaya transaksiditurunkan 1000 rp transaksi
1834,good,good
1835,Dhdhd,Dhdhd
1836,Tokped card sy berharap menaikkan jlh limit,Tokped card sy berharap menaikkan jlh limit
1837,good,good
1838,Yu,Yu
1839,Bagusssss goooddddd,Bagusssss goooddddd
1840,Proses transaks simpel cepat,Proses transaks simpel cepat
1841,Winner app maju tokopedia,Winner app maju tokopedia
1842,Belanja mudah simple,Belanja mudah simple
1843,Memudahkan proses belanja online Mantul,Memudahkan proses belanja online Mantul
1844,Terbaikkkkk gilakk,Terbaikkkkk gilakk
1845,josss,josss
1846,Mantap deh tokped Belanja puas,Belanja puas
1847,Mantaaaapppp,Mantaaaapppp
1848,Improve tokped,Improve tokped
1849,Thank much,Thank much
1850,Prosesnya cepat,Prosesnya cepat
1851,Puas pakai aplikasi semoga sukses Tokopedia,Puas pakai aplikasi semoga sukses Tokopedia
1852,Cepat n akurat puas tks,Cepat n akurat puas tks
1853,bgus,bgus
1854,Best,Best
1855,Manteppp,Manteppp
1856,ya ga gitu deh,ya ga gitu deh
1857,Cepat gampang prosesnya,Cepat gampang prosesnya
1858,Button HOME disetiap screen,Button HOME disetiap screen
1859,Membantu orang,Membantu orang
1860,Favorite place shopping app outstanding easy steps,Favorite place shopping app outstanding easy steps
1861,Aplikasi shop terbaik,Aplikasi shop terbaik
1862,Gampang bayar,Gampang bayar
1863,gratis ongkir ya,gratis ongkir ya
1864,Gampang penggunaan gampang bayar byk promonya,Gampang penggunaan gampang bayar byk promonya
1865,jd gampang ga khawatir penipuan,jd gampang ga khawatir penipuan
1866,Mantappppp kasih bintang 5,Mantappppp kasih bintang 5
1867,pakai,pakai
1868,Aplikasi toppppp,Aplikasi toppppp
1869,Keren bgt,Keren bgt
1870,mencoba menggabungkan metode pembayaran Baguslah,Baguslah
1871,aplikasi markerplace yg oke dibandingkan aplikasi,aplikasi markerplace yg oke dibandingkan aplikasi
1872,Tokped onehand activity,Tokped onehand activity
1873,Mantap layanan,Mantap layanan
1874,Cepat basa basi,Cepat basa basi
1875,Easy use lots promotion like,Easy use lots promotion like
1876,Good banyakin promo cashback yah,Good banyakin promo cashback yah
1877,Aplikasi membantu membayar,Aplikasi membantu membayar
1878,Good fast transaction,Good fast transaction
1879,Mantep,Mantep
1880,Gopay Coins maximal bayar CC bayar tagihan,Gopay Coins maximal bayar CC bayar tagihan
1881,praktis simple mudah nyaman terpecaya,praktis simple mudah nyaman terpecaya
1882,aja promo,promo
1883,3 pakai Tokopedia mayoritas transaksi berjalan lancar yg bermasalah penyelesaian solusinya cepat mudah ngerasa aman belanja,ngerasa aman belanja
1884,good apps mostly good seller still many hanky panky seller,good apps mostly good seller still many hanky panky seller
1885,Good App,Good App
1886,Pembeli kena biaya macemmacem Penjual kena fee Wassalam dah,Pembeli kena biaya macemmacem Penjual kena fee Wassalam dah
1887,good support team helpful even lot better b k l,good support team helpful even lot better b k l
1888,Ga ribet ky sebelah nyaman,Ga ribet ky sebelah nyaman
1889,gampang,gampang
1890,Seneng pake appnya puas fasilitasnya tampilan metide pembayaran Keep good work Trimakasih toped,Seneng pake appnya puas fasilitasnya tampilan metide pembayaran Keep good work Trimakasih toped
1891,Marketplace good kualitas2 toko barang2nya Murah jarang banget ngalamin pembelian sistem Pembayaran mudah akses app mudah,Murah jarang banget ngalamin pembelian sistem
1892,Dipertahankan,Dipertahankan
1893,Pelanggan ditokopedia mohon Bingkai souvenir alamat pembeli Semoga sukses jaya Aamiin,Semoga sukses jaya
1894,toko marketlace mantab,toko marketlace mantab
1895,Barang sesuai pesanan Ontime,Ontime
1896,Tokopedia,Tokopedia
1897,Great apps one stop shopping family,Great apps one stop shopping family
1898,barang sih okelah yaa tokped kurangnya ga bsa combine promo free ongkir nya jg berlaku 1 Ga bsa seller 1x beli,Ga bsa seller 1x beli
1899,mudah gopaypay later,mudah gopaypay later
1900,nTap,nTap
1901,Dear Tokopedia Biaya Jasa Aplikasi nya cepat Kemarin 1000 naikan 2000 konsumen online shop sebelah uang deposit online pay biaya jasa aplikasi 1000 Hihihi lucu beli 50000 administrasi nya 3000 rupiah 17 question increase admission fee,Kemarin 1000 naikan 2000
1902,Suka belanja tokopedia barang bagus hemat nampoL,nan
1903,Pas genting2 nya bayar aja kaga ovo ditawarin Asem,Asem
1904,App ecomm rcommended,App ecomm rcommended
1905,kalo bukalapak errornya kalo malam,kalo bukalapak errornya kalo malam
1906,Mantap simple cepat dapet diskon hehe sukses tokopedia,Mantap simple cepat dapet diskon hehe sukses tokopedia
1907,One recommended safe easy modern marketplace days,nan
1908,Puas banget belanja tokopedia gak kecewa,Puas banget belanja tokopedia gak kecewa
1909,promonya dibanyakin ya promonya,promonya dibanyakin ya promonya
1910,Keren mantaabbb,Keren mantaabbb
1911,Utamakan produktif,Utamakan produktif
1912,Hlagh,Hlagh
1913,Good helpful,Good helpful
1914,lancar akurat kerenn rapi pesan,lancar akurat kerenn rapi pesan
1915,penipuan,penipuan
1916,Заебок,Заебок
1917,Slalu bnyak free ongkir,Slalu bnyak free ongkir
1918,Tokped aplikasi nya lengkap mudah,Tokped aplikasi nya lengkap mudah
1919,Lg males trus inget tagihan pake tokped mager,Lg males trus inget tagihan pake tokped mager
1920,penggunaan mudha cepat,penggunaan mudha cepat
1921,Maknyuzzz,Maknyuzzz
1922,Mantap OVO promonya,Mantap OVO promonya
1923,sempurna,sempurna
1924,Rekomended market,Rekomended market
1925,mudah belanja metode pembayaran gbmudah,mudah belanja metode pembayaran gbmudah
1926,jaringan bagus cek saldo aja bgt loadnya,jaringan bagus cek saldo aja bgt loadnya
1927,Cashback potongan ongkirnya real terbantu,Cashback potongan ongkirnya real terbantu
1928,Tokped emang udah pilihan gue kalo belanja onlen,Tokped emang udah pilihan gue kalo belanja onlen
1929,Tokopedia toko andalan belanja online murah bayar nyicil toko terbaik yg pakai,Tokopedia toko andalan belanja online murah bayar nyicil toko terbaik yg pakai
1930,Good market,Good market
1931,Ntaappss,Ntaappss
1932,Beli mudah cepat aman,Beli mudah cepat aman
1933,berjaya,berjaya
1934,mudah loket resmi,mudah loket resmi
1935,convinient effiecient,convinient effiecient
1936,GoTo Hebat,GoTo Hebat
1937,Easy user friendly,Easy user friendly
1938,Tokopedia merubah Mudah,Tokopedia merubah Mudah
1939,enak diliat aplikasi toped dibanding ecommerce yg,enak diliat aplikasi toped dibanding ecommerce yg
1940,Semoga sukses berjualan platform,Semoga sukses berjualan platform
1941,maaf,maaf
1942,Aplikasi terpercaya online shop indonesia,Aplikasi terpercaya online shop indonesia
1943,Simple responsive,Simple responsive
1944,Helpful,Helpful
1945,Always nice,Always nice
1946,Cepattt,Cepattt
1947,Kerenn deh tokped gojek,Kerenn deh tokped gojek
1948,beli tinggAl pilih klik mudah praktis nyaman Makasih tokped,beli tinggAl pilih klik mudah praktis nyaman Makasih tokped
1949,Great apps helpfull,Great apps helpfull
1950,Semuga selalau sukses,Semuga selalau sukses
1951,kadang kecewa belanja tokopedia bbrp toko penjualnya kadang kyrirnya curang tp tokopedia cenderung melindungi pembeli kadang yg dikorbankan,kadang kecewa belanja tokopedia bbrp toko penjualnya kadang kyrirnya curang tp tokopedia cenderung melindungi pembeli kadang yg dikorbankan
1952,item need come good condition package also never late time compromised Good service,Good service
1953,Keren aman banget,Keren aman banget
1954,Baguuus,Baguuus
1955,Proses cepat ribet,Proses cepat ribet
1956,Online marketplace yg aman cepat pilihan produk seller Tinggal pandai2 pembeli memilih seller yg terpercaya,pilihan produk seller
1957,Aplikasi jual beli praktis,Aplikasi jual beli praktis
1958,Uwuu,Uwuu
1959,kemudahan ecommerce diskon untungnya gopay coins ongkir,kemudahan ecommerce diskon untungnya gopay coins ongkir
1960,membantu mudah kebutuhan rumah tokopedia 2014an sll puas Terimakasih tokopedia seller2nya,tokopedia 2014an sll puas
1961,Jualan zonk Upload barang jualan 2016 ampe terjual hahahaa Marketplace,Jualan zonk Upload barang jualan 2016 ampe terjual hahahaa Marketplace
1962,Terbaik super app indonesia mantaaaaaap,Terbaik super app indonesia mantaaaaaap
1963,mudah,mudah
1964,application effective want shop,application effective want shop
1965,Mantab pisan tokped,Mantab pisan tokped
1966,Great appl good online order selling online,Great appl good online order selling online
1967,Top banget tokped dabest,Top banget tokped dabest
1968,Oke Puas banget belanja tokped,Puas banget belanja tokped
1969,memudahkan enjoying shopping,memudahkan enjoying shopping
1970,Awesome Easy flexible transaction,Easy flexible transaction
1971,Mudah cepat gak ribet aplikasinya,Mudah cepat gak ribet aplikasinya
1972,Keren diingetin bayar langganan air gak telat mulu,Keren diingetin bayar langganan air gak telat mulu
1973,Update Perbaiki Bug Bug Aplikasi Tokopedia Iphone 6 Tolong Update Aplikasinya Enteng Ringan memakan memory ram mengoperasikannya Terimakasih Banyakin promo2 bagus pembeli penjual terimakasih,Banyakin promo2 bagus pembeli penjual terimakasih
1974,terlanjur nyaman tokped pencarian pembayaran banget pilihannya mudah Thank u Tokopedia voucer casbacknya banyakin yaa hehe Oh iya lupa notif pesan penjual kadang lambat munculnya,Thank u Tokopedia voucer casbacknya banyakin yaa hehe
1975,nan,nan
1976,Aplikasi membantu transaksi,Aplikasi membantu transaksi
1977,Terbaik kelasnya,Terbaik kelasnya
1978,kadang cari barang udah pake keyword barangbarang munculnya ga sesuai dicari intinya akurat,intinya akurat
1979,Memuaskan cepat,Memuaskan cepat
1980,Ngebantu banget banget makasih koh wiliam,Ngebantu banget banget makasih koh wiliam
1981,Good apss keep good work,Good apss keep good work
1982,Gooooood,Gooooood
1983,Nice app Helpfull N best service app,nan
1984,Mantappp lancar jaya,Mantappp lancar jaya
1985,membantu dirasakan,membantu dirasakan
1986,praktis aja,praktis aja
1987,Top app,Top app
1988,nice,nice
1989,Mantap belanja online berkali kali transaksi,Mantap belanja online berkali kali transaksi
1990,useful,useful
1991,Biaya aplikasinya gede banget,Biaya aplikasinya gede banget
1992,Good option,Good option
1993,Love app,Love app
1994,sy sdh tokped dri 2014 smpai skrng sllu tokped sampe skrng sy sllu tokped utk pembelian penjualan online,sy sdh tokped dri 2014 smpai skrng sllu tokped sampe skrng sy sllu tokped utk pembelian penjualan online
1995,Edaaaannnnnnn,Edaaaannnnnnn
1996,suka belanja toko Ijo,suka belanja toko Ijo
1997,Mantap jiwa produk ecommerce indonesia,Mantap jiwa produk ecommerce indonesia
1998,Belanja mudah Tokopedia,Belanja mudah Tokopedia
1999,Good 5 star,Good 5 star
2000,Mantap,Mantap
2001,Suka designnya,Suka designnya
2002,Mantap layanan nya sgt memuaskan,Mantap layanan nya sgt memuaskan
2003,membantu bayar pakai gopay later sukses tokped Gojek,membantu bayar pakai gopay later sukses tokped Gojek
2004,Beautiful UI simple elegant Good job,Good job
2005,Aplikasinya lancar,Aplikasinya lancar
2006,mantabbbbb,mantabbbbb
2007,pakai ribet mudah cepat,pakai ribet mudah cepat
2008,Kontak aja IG Danielgadgetid Makasih TokoPedia Mempermudah sy jualan online Terima beli gadget ya Dagangan sy dibantu jual dgn Toped,Kontak aja IG Danielgadgetid Makasih TokoPedia Mempermudah sy jualan online Terima beli gadget ya Dagangan sy dibantu jual dgn Toped
2009,Usefull App bravo,Usefull App bravo
2010,Susah kalo tokopedia nya kyk robot gak solusi manusiawi Tokopedia care membantu,Tokopedia care membantu
2011,Josssssss,Josssssss
2012,Cigin,Cigin
2013,Marketplace favorit nih Banyakin ya promo2nya Terima kasih,Banyakin ya promo2nya
2014,100 recommended MUCH BETTER AMAZON,MUCH BETTER AMAZON
2015,Toko online yg terpercaya,Toko online yg terpercaya
2016,Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps,Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps Mantaps
2017,Cepat proses belanja nya cash back,cash back
2018,membantu,nan
2019,Pokoknya apa2 tokopedia dah,nan
2020,skrg hang lambat,skrg hang lambat
2021,Quick respond,Quick respond
2022,Super apps user friendly become biggest apps,Super apps user friendly become biggest apps
2023,far tokopedia platform ecommerce favorit seamless secure,far tokopedia platform ecommerce favorit seamless secure
2024,helpfull enjoy,helpfull enjoy
2025,Terima Kasih Tokopedia mempertahankan citra dibanding prioritas mencari keuntungan bts fan bertahan GoTo Semoga Tokopedia x BTS ya Fighting,Semoga Tokopedia x BTS ya Fighting
2026,always satisfied purchase nice apps experience good user experience,always satisfied purchase nice apps experience good user experience
2027,helpful daily needs,helpful daily needs
2028,aplikasi bagus,aplikasi bagus
2029,Puas belanja aja sistem nya aman delivery nya time,Puas belanja aja sistem nya aman delivery nya time
2030,Mudah cepat,Mudah cepat
2031,Byr mudah,Byr mudah
2032,Cepat prosesnya,Cepat prosesnya
2033,Mantaaabbb,Mantaaabbb
2034,helpfull,helpfull
2035,Sippp,Sippp
2036,Sukses utk tim Tokopedia,Sukses utk tim Tokopedia
2037,Puas dg tokped,Puas dg tokped
2038,Best best best,Best best best
2039,kemudahan transaksi,kemudahan transaksi
2040,Toko Online Nyaman pengguna toped kecewa,pengguna toped kecewa
2041,Sayangnya skrg tdk bebas ongkir,Sayangnya skrg tdk bebas ongkir
2042,jos pokoknya,jos pokoknya
2043,Keren abis,Keren abis
2044,user friendly n intuitive helps u enough intrude u,user friendly n intuitive helps u enough intrude u
2045,best best,best best
2046,Joooossss,Joooossss
2047,Konsumenmu kalangan menjaga perasaan dg mengundang Ngustadz Intoleran,Konsumenmu kalangan menjaga perasaan dg mengundang Ngustadz Intoleran
2048,segi harga produk2nya mahal relatif terpercaya 6thn platform marketplace 2 kali bermasalah dgn toko Sukses Tokped,6thn platform marketplace 2 kali bermasalah dgn toko
2049,Aplikasi Bagus Service Bagus Feedback Customer Service Bagus Kekurangan nya Bayar Cicilan kartu kredit PEMBERITAHUAN biaya Cicilan nya customer Service tertulis Syarat Ketentuan GILA tertulis kena biaya Silakan baca Syarat Ketentuan persentase nya hitunglah Kalo ga Baca syarat ketentuan Siaplah Kaget Kena Biaya cicilan konfirmasi bayar selesai kecewa far OK,PEMBERITAHUAN biaya Cicilan nya
2050,Okeoce,Okeoce
2051,Nice app highly reliable However night mode well developed yet,However night mode well developed yet
2052,Oke kalo,Oke kalo
2053,biaya aplikasi kemahalan wkwk,biaya aplikasi kemahalan wkwk
2054,Please always better,Please always better
2055,Applikasi yg pakai bagus aman,Applikasi yg pakai bagus aman
2056,Tq uda permudah smua,Tq uda permudah smua
2057,Good ecommerce,Good ecommerce
2058,Superb,Superb
2059,Lancar jaya,Lancar jaya
2060,best gampang sortir barang ori gk,best gampang sortir barang ori gk
2061,Laaah,Laaah
2062,Favorit,Favorit
2063,semoga seller ramai jual barang tokped,semoga seller ramai jual barang tokped
2064,Easy helpful good seller need improve search engine,Easy helpful good seller need improve search engine
2065,Kepakai bangettt e com,Kepakai bangettt e com
2066,Pelayanan promo Semoga tokopedia memuaskan konsumen buyer seller,Semoga tokopedia memuaskan konsumen buyer seller
2067,mengecewakaan trus improve yaaa,mengecewakaan trus improve yaaa
2068,Maju Indonesia,Maju Indonesia
2069,best application ever,best application ever
2070,mudah cepat eksekusi bayar email langsung bunyi bunyi tanda masuk cek tokopedianya Mantap,Mantap
2071,absolutely helpful app anything,absolutely helpful app anything
2072,aman aplikasi,aman aplikasi
2073,Bagus Aplikasinya mudah cepat,Bagus Aplikasinya mudah cepat
2074,ramah tokped blunder konsumen apknya hack uang hilang tibatiba diawal transaksi nilainya cs tokped care berbelit belit pelayanannya bertanggung uang,ramah tokped blunder konsumen apknya hack uang hilang tibatiba diawal transaksi nilainya cs tokped care berbelit belit pelayanannya bertanggung uang
2075,Keren skrng live tracking,Keren skrng live tracking
2076,Toko hijau,Toko hijau
2077,Biaya jasa aplikasi 2000,Biaya jasa aplikasi 2000
2078,Thankyou tokopedia promonya bener real Nice,Nice
2079,Helpful n useful apps,Helpful n useful apps
2080,Utulitas mudah penggunaan aplikasi terkait,Utulitas mudah penggunaan aplikasi terkait
2081,okey terimakasih salam sukses sehat sehat rejeki Amin,nan
2082,nan,nan
2083,Good toko pedia,Good toko pedia
2084,benda tersedia,benda tersedia
2085,perlukan,perlukan
