,Original,Summary,Sentiment
122,Don’t respond to a racist is what I’ve learned im not too surprised that reporting a string of racially charged words & facebook sees nothing wrong with it. But post fall out boy song lyrics your page will be restricted. But it wont be if you post a transphobic meme. This accounts being a huge source of negativity for me is why i deleted the app in 2020. I thought maybe things have gotten better but they’re not 🤷‍♀️ beteween the insults hurled at me and facebook finding no problem with them & facebook not having a problem with actual racists & transphobes im over it. yall can keep this platform that actively stole ur data for over a decade and nobody batted an eye but tiktok has the gal to exist and everyone hops on the stolen data & xenophobia train. KEEP IT 🗣️,This accounts being a huge source of negativity for me is why i deleted the app in 2020.,-1
123,"Not only did Facebook sell out to Cambridge Analytica, our data was misused and improperly secured. Voter suppression was employed as a weapon by utilizing personal information and targeting advertising further driving this nation apart. Facebook took no responsibility over their platform to fact check the content that was being pumped out to users to sway voters. Facebook was and still is being weaponized. It is wreckless and must be held accountable.",Facebook took no responsibility over their platform to fact check the content that was being pumped out to users to sway voters.,-1
124,"I have two Facebook accounts when I use for business and one personal but they are both not business accounts under Facebook. When I log into one of them, I’m able to slide right and see my messages or go to the messaging app and I can watch peoples stories on the messaging app. But when I go to the other account that I have, I’m not able to watch anybody’s stories on messenger, and I’m not able to swipe right and see my Facebook messages from the Facebook app.","When I log into one of them, I’m able to slide right and see my messages or go to the messaging app and I can watch peoples stories on the messaging app.",-1
125,I wish there is negative stars. This app has changed because the platforms are monopolized. We cant do anything but to ignore. Full of unnecessary ads that takes you forever to delete in the options. Hiding ads in the option is one by one and is a full waste of time. Im not scrolling my feed because all i see are ads and my friends updates(skipped every 10 ads) are way way below the scroll page. Im just using messenger - which is optional because i can use other platforms. Right now i cant even see my profile.,Right now i cant even see my profile.,-1
126,"Every other post is an ad. It is getting tiresome. I get on FB to see updates from family and friends whom I don’t live near…but all I ever see anymore is ads and nonsense. Everything was amazing before the “Woke Agenda…” nobody cares. Y’all do you! No need to make noise. I don’t walk around flaunting my life, why because I could care less what y’all think. I don’t care if you are LGBTQ… just be you. The Woke Agenda has ruined everything. 
I rarely get on FB, watch tv, and so on anymore. The woke agenda has gone bonkers. Nobody cares, so stop shoving your agenda down peoples throats…just be you.",It is getting tiresome.,-1
127,I got hacked to the point someone got in my account and started posted I was selling all this husk. Stock photos. Then I was selling puppies. All my friends kept notifying Fb I was hacked. They FINALLY took it down. I got an email to recover but it was blank so gave me no link to start the recovery process. You can’t get ahold of anyone at Fb to help you and I list all my videos and photos that I thought were safe on there.  Now I don’t really want to open a new account after going thru all of that!,I got an email to recover but it was blank so gave me no link to start the recovery process.,-1
128,"Facebook is terrible!!! I downloaded it STRICTLY to use Facebook Marketplace and it’s not letting me search for specific items, I had to download Facebook messenger to communicate with the people on marketplace, and I reached my “message limit” while looking for furniture after only a few minutes.

Everyone just needs to set a date where they agree to delete Facebook in its entirety at the same exact time. This is my first review ever too. I’m excited for when my furniture search is over so that I can delete this horrible app again.",This is my first review ever too.,-1
129,"I’m so disappointed in Facebook right now. I’ve had my account for 13 years. I had so many memories and photos in that account. I got hacked and the hacker is trying to scam my friends and family. I’ve tried to let everyone know that I’ve been hacked, but it is impossible because Facebook was my number one source of communication. The hacker changes my email address, phone number, password, etc. But they didn’t change anything from my profile so that they can actually trick my friends into trusting them. I really really hope they don’t trick them, I would never ask for money or anything like that. I’ve done everything and anything to get my account back, but Facebook makes it impossible to do so. Also, why is it that with so many reports of “hacked account” does Facebook not delete the profile? I’m so mad and I hate this app.",I’m so mad and I hate this app.,-1
130,I agree there are too many ads. If I try to watch a video they are interrupted two or three times. Even it it were something might be interested in I won’t buy because the ad is a nuisance. I want to buy something I will look it up when I want to check it out. Show one ad before the video and charge a bit more as I am more receptive and likely to sit through a 20 second ad but to hit me with a barrage of ads Interrupting the video I quick and move on to something else.,If I try to watch a video they are interrupted two or three times.,-1
131,"Suddenly the in-app notifications have disappeared from my iPad app.  No, I’m not talking about push notifications, which is the only fix instruction offered on Google.  I’m talking about the badges at the bottom of the app when it is open.  I didn’t switch any settings or do any system updates… just one day they weren’t there anymore.  So fun that there’s nobody at Facebook responding to my requests for help.",So fun that there’s nobody at Facebook responding to my requests for help.,-1
132,"My account has got hacked and taken over I can’t even get back into it, you have told me to go to the support box and send you a report about it but then it send me to the login page so how do you think when it does that I’m supposed to send a report.  I’ve got proof that I am who I say I am but I can’t send a photo from my IPhone cause it’s to blurry so could you please get in touch with me thru here and let me know how I can talk with a real person that works in technical support or maybe someone high up on the ladder so I can get this matter solved please.  This has happened to me a few times and I’m not talking u just 2 I’m talking a few times and I’m getting real tired of it!  Thank you 
        Bonnie Wilson 
  Don’t try and get in touch thru any of the account out there then who ever took them and will know so on here then in person please",I’ve got proof that I am who I say I am but I can’t send a photo from my IPhone cause it’s to blurry so could you please get in touch with me thru here and let me know how I can talk with a real person that works in technical support or maybe someone high up on the ladder so I can get this matter solved please.,-1
133,"When I open my Facebook page, it is blank. I have reset my iPhone. I have reinstalled the app I contacted Apple and their support said there is an issue with third-party software not functioning properly. Everything else on Facebook works fine, but my personal page still opens blank. META was contacted. This seems to be an issue when I’m on my iPhone 11 all software has been updated. Just started today and I was able to open my profile page but now it is permanently blank. Facebook has confirmed nothing has been hacked. There is nothing wrong with my personal account or the other three pages that I admin. I was able to log into Facebook on a Samsung galaxy tablet and the profile looks OK. So why is this not working correctly on my iPhone 11?","Everything else on Facebook works fine, but my personal page still opens blank.",-1
134,Im personally going to make sure everybody rates your app the lowest it possibly can and I’m going to continue doing this until your workers mind their own business and stay off my page its a public app i should be able to post what i want on my page if people don’t like it they don’t have to read it and none of the general public dislike my posts just your “little unqualified tech workers” that nobody can seem to message and explain stuff to so till y’all leave me alone your ratings will continue to drop i promise!!,!,-1
135,"My complaint started as a joke because I really don’t care about creating an avatar. But I have not been able to create a Facebook avatar since they first put out the app in 2020. I keep getting a message that says that my version of Facebook doesn’t support making the app and that I need to update the app. Of course my app is constantly updated and what makes this even more ridiculous is that if I log into one of my other accounts, using the same Facebook app I’m able to create an avatar.  And the lack of customer service is just outrageous to me.",But I have not been able to create a Facebook avatar since they first put out the app in 2020.,-1
136,"I’ve had Facebook for a while and have never had issues up until today. The post option is not there when I’m in groups. Normally it says “write something” and has a box to make a post, but it’s no where to be found. I tried logging into my business page and it works that way, but not on my personal account. I’m not blocked from anything because if I use a browser instead of the app it works just fine so the issue is with the app. There’s no way to speak to a person to resolve the issue either. Just the report a problem button which does nothing other than notify them how often problems occur.",There’s no way to speak to a person to resolve the issue either.,-1
137,Out of the blue both my accounts won’t let me comment in my favorite group. For no reason. Yet I am hearing same exact complaint from many others at the same time. What’s going on Facebook?,Yet I am hearing same exact complaint from many others at the same time.,-1
138,My app was just hacked and I didn’t know until later when I tried to login and the credentials didn’t work. I noticed I had an email saying my email address and password were changed but the link to say that I didn’t make the change expired. Why would the link expire so fast? Also there’s no way for me to contact anyone to prove my identity to regain access to my account. I have so much important things on my page and can’t access it because I was hacked.,I noticed I had an email saying my email address and password were changed but the link to say that I didn’t make the change expired.,-1
139,The only reason I still have Fb is to keep up with a large family and friend group since I now live out of state. More convenient this way BUT these ads are ridiculously annoying and so are the suggested page prompts. Used to be able to click the 3 dots in right corner and hide the pages and opt out of seeing them and the ads but now you can’t even do that.,More convenient this way BUT these ads are ridiculously annoying and so are the suggested page prompts.,-1
140,I like it it’s okay but one thing that got me mad was I tried to use Facebook marketplace for the first time messages someone about a car and I got a ban for violating the guidelines and all I did was ask if it was available that was all then I send them the why I felt it was a mistake and they fixed it by that time the car was sold . Then I posted a pair of shoes I wanted to sell they took it down and said I was selling tabaccoo products when it was a picture of. Shoes saying they where a size 4 in boys size 5 in girls . This app is so dumb and for that I won’t be using it,Then I posted a pair of shoes I wanted to sell they took it down and said I was selling tabaccoo products when it was a picture of.,-1
141,"FB is a great one stop spot to keep in touch with family and friends. Over time it’s a great place to look back on your memories as well.
BUT if your account is hacked, email and password changed do not expect any help in retrieving your account. Reports are not responded to. There is way to speak with anyone. 
So beware and don’t trust that your account will always be accessible.",Over time it’s a great place to look back on your memories as well.,1
142,"Things NOT against the facebook community standards: people touting they would kill their child and every other child to protect their guns; people making threats and attempting to meet someone else to shoot them. 

Things that DO violate community standards; calling someone dumb; comparing a persons train of thought a squirrel. 

Seriously facebook? You had choices to not change or die a hero but you chose to live long enough to see yourself become the villain. On to tiktok… until you advocate for banning that",You had choices to not change or die a hero but you chose to live long enough to see yourself become the villain.,-1
143,"I like Facebook,I’ve been using it since I was in high school but there’s one problem, not everybody has Wi-Fi connection in their home or business so I’m asking for u guys to come up with a update that would allow users to post videos and pictures on Facebook offline without using Wi-Fi.","I like Facebook,I’ve been using it since I was in high school but there’s one problem, not everybody has Wi-Fi connection in their home or business so I’m asking for u guys to come up with a update that would allow users to post videos and pictures on Facebook offline without using Wi-Fi.",0
144,"Not sure why the developers are constantly updating Facebook for mobile BUT I often put off the update because over half the time the Stickers that I’ve spent time downloading go away. This time the Stickers are gone AND NO LONGER WORK at all. 
Much like another Reviewer commented, I use Facebook to keep up with groups of friends/family, plus use it as admin for a few business pages.
SOOOO annoying. Developers need to do better!","Much like another Reviewer commented, I use Facebook to keep up with groups of friends/family, plus use it as admin for a few business pages.",-1
145,"I am a longtime legitimate user. I now have a group with 6K followers. I am constantly communicating with my members in my group. I am so tired of being restricted and banned for hours and days for sending over 100 messages daily. And now worse yet. Facebook is bias, and not allowing me to even communicate with my own members in messenger if we’re not Facebook friends. Additionally they are restricting me from communicating with my members by messenger even when we are friends, but haven’t communicated for a while via messenger. In other words, I can’t get a messenger message through to my own friends & members unless they send me one first. I am so tired of it. I am already in the process of using new platforms. I am sure others will too. Wake up facebook or you’ll end up being history. Meanwhile, I’ll expect you to unrestrict my account now. Thank you",I am sure others will too.,-1
146,"Just know it’s someone,somewhere watching,manipulating and stopping people of color from expressing their opinions or truth on views in America…one day it will be exposed just like the rest of the hidden and controlled agendas that have literally been but in place to control,mislead and downplay people of color to make white people to seem as if they are better than any other race when in reality everything they have or “own”was all STOLEN by their ancestors to get this country exactly where it’s at today…I used to like this app till realize this app don’t like me✌🏾👀","Just know it’s someone,somewhere watching,manipulating and stopping people of color from expressing their opinions or truth on views in America…one day it will be exposed just like the rest of the hidden and controlled agendas that have literally been but in place to control,mislead and downplay people of color to make white people to seem as if they are better than any other race when in reality everything they have or “own”was all STOLEN by their ancestors to get this country exactly where it’s at today…I used to like this app till realize this app don’t like me✌🏾👀",-1
147,"Facebook ads platform is garbage.  It's complicated, confusing and you can only talk to a robot for help.  Day 1 my ad was denied, day 2 they reversed their decision, day 3 they denied it again.  One day I wanted to spend $200 on ads and they said I couldn't spend more than $50.  I've never had so much trouble getting another business to take my money.  I will probably never use Meta for ads again.  I've never been more frustrated with a platform.",I will probably never use Meta for ads again.,-1
148,"When I switch to Facebook and I have absolutely nothing playing in it, why does it pause my music?? THE ABSOLUTELY MOST ANNOYING. The only option is to quit the app. It seems to persist when I *had* played an ad or some media inside Facebook long ago. App seems to think something is still on unless I force quit beforehand. This has been an issue thru many updates. Who dunnit? — AND WHY IS IT SO HARD TO EXIT A VIDEO. swipe down? Doesn’t work Swipe left???? Oh I have to press the little (v) arrow up top on the right. Please Get To Work",It seems to persist when I *had* played an ad or some media inside Facebook long ago.,-1
149,"Always crashing,Very frustrating to have to keep checking for updates and uninstalling and reinstalling. Not to mention gosh how many ads always constant popping up all the time.  I guess you haven’t heard but yeah some of us are in a recession and not multi billionaires. Don’t want to buy stuff every single time I open my social.",Not to mention gosh how many ads always constant popping up all the time.,-1
150,"My account was hacked and every single solution on the help center page is a dead end. There isn’t a phone number or email address to reach out to to get help and I’ve now lost access to years of memories and photos. I managed to get in touch with one email address and I was desperately asking for help…all they replied with was “go to the help center” even after I told them I had already tried EVERYTHING and nothing worked. 

The lack of security is also ridiculous because I was never once notified that my login email or password were changed. Considering Facebook is one of the biggest social media platforms, you would think they would have the resources to give its users quality support when we need it. I’m absolutely furious.",The lack of security is also ridiculous because I was never once notified that my login email or password were changed.,-1
151,"So I’ve been on Facebook for a while now and the stupid new update won’t allow me to add my friends that I know in person because it says that it seems like I may not know that person but I’ve been trying to add people that I’ve gone to school with, people that I still talk to on other platforms, and it’s been an issue for a couple weeks now.","So I’ve been on Facebook for a while now and the stupid new update won’t allow me to add my friends that I know in person because it says that it seems like I may not know that person but I’ve been trying to add people that I’ve gone to school with, people that I still talk to on other platforms, and it’s been an issue for a couple weeks now.",-1
152,Since there is no person you can talk to fixing an issue is impossible. I haven’t been able to utilize certain features although I have updated and reuploaded the application. I send my concerns out and they still haven’t been answered.,I send my concerns out and they still haven’t been answered.,-1
153,"Ever since the most recent update, my scrolling through the news feed is SO SLOW. I can no longer swipe up and have it scroll quickly, it barely makes it to the next post before it stops scrolling. Doesn’t seem to be an issue on any other page, just the main news feed screen.","Doesn’t seem to be an issue on any other page, just the main news feed screen.",-1
154,I don’t know if it’s a bug or crash- whatever it is; but I used to be able to scroll quickly up and down my Facebook feed and now it takes forever to just scroll down like I have to scroll at a snail pace which is ridiculous. Please get that fixed.,Please get that fixed.,-1
155,"The app won’t scroll. I thought maybe it was my phone but it just happens when I’m in Facebook, and just when on my timeline. In Facebook settings it scrolls fine. I have restarted my phone, and uninstalled and reinstalled the app and I have the same issue. Very annoying.",Very annoying.,-1
156,"Not a fan of playing music to switch over and boom music shuts off. Also not a fan of an ad every 2 seconds if scrolling. Also not a fan of the data leaks. Also not a fan of the constant banning of people. Also not a fan of the weird ads that constantly play. Worst product ever. Only reason I even have it is because of what is currently happening. Not even sure why I’m reviewing, nobody on this “team” pays attention to any of these reviews or the people using their products.",Also not a fan of the weird ads that constantly play.,-1
157,"Facebook used to be a place to stay connected with friends regardless of how recently you’ve interacted with them. Now, their feed algorithm determines maybe 10 people that it should show you and those are the only people you will see posts from. They claim it’s to reduce noise but seeing posts for people you do not care about is literally noise. It seems more like an attempt to get people to scroll longer to find content they want to see to increase ad revenue. Facebook has become a bunch of feature that nobody asked for or wants. Don’t even get me started on the quantity of ads and trackers now. Facebook is only moderately tolerable using Safari, with ad/tracker blockers, and a vpn. The app is just a data collection tool and shouldn’t be installed on anyone’s phone.","Now, their feed algorithm determines maybe 10 people that it should show you and those are the only people you will see posts from.",-1
158,Hi I’m trying to get my account back since it got hacked and Facebook didn’t helping me at all. I’m trying to recover it and it’s saying I need to log in or use the email we’ll they changed my email and you guys are just running me through circles I can’t use my password and it’s not my email but it’s my account. I need answers and help asap. I’ll sue you if this guy tarnishes my name.,I’ll sue you if this guy tarnishes my name.,-1
159,"Sigh. Facebook was once fun. Slowly over the years we became aware of what an ad machine it is, how we are the product, how it’s all a scam to harvest our data under the guise of “staying in touch.” Well in all of this, the one pleasure I had left on Facebook until recently was Marketplace. What a joy it was to treasure hunt on there - a veritable antique store or flea market at your fingertips. And now I don’t even have that since LITERALLY FOR EVERY FOUR LISTINGS YOU NOW YOU SEE TWO SPONSORED ADS. ADS FOR THINGS YOU WOULD NEVER LOOK FOR ON MARKETPLACE. ADS FOR THERAPY. ADS FOR INFLUENCER PROFILES. ADS FOR THINGS THAT COMPLETELY RUIN THE FEEL OF MARKETPLACE. YES LITERALLY 1/3 OF ALL LISTINGS ARE SPONSORED ADS FOR THE SAME SCAM AND FRAUDULENT PRODUCTS THAT ARE RAMPANT ON FACEBOOK. DID YOU THINK ADS WOULD DRAW US FURTHER IN? DID YOU THINK THIS WOULD MAKE PEOPLE SPEND MIRE TIME ON MARKETPLACE? HAVE YOU LOST YOUR MINDS? THIS IS THE NAIL IN YOUR COFFIN. I HAVE FAR LESS DESIRE TO BROWSE MARKETPLACE NOW. THE ADS ARE EXHAUSTING. FACEBOOK IS NOTHING BUT AN EXHAUSTING, SHAMELESS AD SPACE AND EVERYONE KNOWS IT. IT IS PLAYED OUT AND TIRED. MARKETPLACE WILL CRUMBLE IF META DOESN’T FIRST. IDIOTS!!!!!!!!!",ADS FOR THERAPY.,-1
160,"This app gets worse and worse with each “update”. 

Why must I continually see and block pages that I’ve already blocked? I'm so tired of things or people or status updates I've blocked or hidden STILL showing up in my app feed. Why is there no way to hide ads? I’m not interested in what your algorithm thinks I need to see. Why don’t have to see what stupid pages or groups my friends are in? If I wanted to see that crap I’d follow those pages and groups. 

Oh, I’ve hidden and blocked so many pages for a reason (ie I don’t want to see them. Ever). Notifications are still messed up. I get zero notifications on the pages I requested to get ALL notifications from, and all notifications for crap I’m not interested in.  

I am also not interested in ""suggested apps"" or games. If I wanted those, I'd go to the App Store on my own and look for them. Every other update on my feed is an ad for something I DON'T WANT.

Why can’t you just show me my friend, groups, and pages I follow and nothing else?",Notifications are still messed up.,-1
161,"Who ever though it was a brilliant idea to have mentions in separate pop up where you have to select the mention (adding an unnecessary step) in order to see it should be fired as it doesn’t work on desktop. 

When will Facebook actually roll something out useful?  Hasn’t happened in years. 

If I didn’t need FB for when then I would delete account.",If I didn’t need FB for when then I would delete account.,-1
162,"Facebook is a great app and groups are fun. Honestly, don’t look at the bad reviews. My only issues are that you can’t private message someone without getting messenger, even for something as trivial as a wave or something big like a whole conversation, and that if I comment on a lot of things I can’t comment until the next day b/c of spam?????. Since you can scroll so u don’t have to see ads, that doesn’t bother me. Bots copy the reviews word for word and go under different names to make the rating for the app 2.3 STARS!!!! The bots need to stop this crap.",The bots need to stop this crap.,-1
163,"I just got a new iPhone and downloaded FB onto it, they then locked my profile because they assumed I was being hacked.  In order to unlock my account they now want me to upload personal ID’s such as driver’s licenses, birth certificate or passport to prove who I am.   They can keep my account, this is the second time they have locked me out or deleted my accounts.","They can keep my account, this is the second time they have locked me out or deleted my accounts.",-1
164,I lost all access to marketplace. The system said the postings were against the rules. I read the rules and it didn’t. I can’t get anyone to respond to any of my questions in the help support section or via email. Whatever person/robot/computer that is overseeing this is not working properly. This needs to be fixed.,This needs to be fixed.,-1
165,"My account got hacked and they changed my information. I can’t get help from the help center because you need one of your email or phone number, both of which they changed. You call them and a person who can’t speak English hangs up on you. I tried multiple times with multiple different people who couldn’t speak English. All of which hung up on me. Terrible customer service, app should be banned for pouring people’s personal information on the internet to be hacked",All of which hung up on me.,-1
166,Didn’t have any problems getting notifications before the latest and greatest update. I’ve tried 9 different methods of fixing the problem with no results. I can literally track it back to the last FB update. I have an iPhone SE. Your update needs an update to fix this problem.,I can literally track it back to the last FB update.,-1
167,"The only thing that I care about on this app is the marketplace feature, with is often loaded with sponsored postings and fails to load the entire page. If you add filters to your search the app hides postings from you, or refuses to load more than 1/3 of results.","If you add filters to your search the app hides postings from you, or refuses to load more than 1/3 of results.",-1
168,"Maybe most people I know simply stopped using it, or maybe it’s FB algorithms hiding my posts from my friends, and their posts from me. When I log on, my feed is filled with useless recommendations and nonsensical ads. I do miss posts from the groups I am in and interacting with my friends, but the decline of Facebook is not something I will miss. I deleted the app from my devices and haven’t looked back in over a month.","I do miss posts from the groups I am in and interacting with my friends, but the decline of Facebook is not something I will miss.",-1
169,"I can respond to my friends posts and write posts, but if I try to play games, it tells me I need to log in to Facebook. When I log in “again”, it tells me I need 2 factor authentication. I have 2-factor identification. Then it tells me an unrecognized device tried to log in, meaning me. I am logged in and can interact with everyone. I try to let it know it was me. And it tells me again that I need 2 factor authentication, which I have. It also tells me I need Facebook for a phone and wants me to click a link to App Store. The App Store says I have the Facebook app. Facebook says I need the latest version. I’m on version 414.  There is no newer download.",It also tells me I need Facebook for a phone and wants me to click a link to App Store.,-1
170,"More and more the things I like having in my news feed I have to search for, videos I have ZERO interest in are always popping up, and I still can't create an avatar. ""Your current version doesn't support avatars, make sure your app is current."" Go to store, app is up to date, try again, says the same thing.

Edit:

I can't use professional mode. No option.","""Your current version doesn't support avatars, make sure your app is current.""",-1
171,"Facebook app used to work now even with all the updates it still functions like the developer aren’t versed in web development. The latest update states it fixed bug issues to make it load faster what a joke, no matter wether it’s an article, a shared photo or a video they just spin, spin then get stuck and they don’t load, I don’t know why the developers continually update this app when it is detrimental to its function. META HAS DESTROYED BOTH FACEBOOK AND INSTAGRAM!",META HAS DESTROYED BOTH FACEBOOK AND INSTAGRAM!,-1
172,"I lost one account a long time ago. It said I had to change my password so I did. It logged me out and I went through the process. I went to sign in with the new password and it said email was incorrect. That was my only email at the time. It wouldn’t let me do anything. 

This time some things got posted by my page that I didn’t post. I went through the process to remove the things that I didn’t post and changed my password. When I tried to sign in, it took me through the whole process again like nothing saved. I had to choose another password even though I just changed it then check all recent friends, comments, and posts again. It wouldn’t let me get passed it until I did it all on the actual web browser.",That was my only email at the time.,-1
173,"I hate the new Facebook Watch format. It skips to another video before the first is finished. You can also see part of the next video at the bottom of the screen, which makes the video I want to see smaller. It’s honestly a distraction from the video I want to watch. All of the garbage at the bottom of the screen also takes up a quarter of the screen and  blocks the captioning at the bottom of videos. It’s becoming less accessible for the hard of hearing and less enjoyable as a whole.",It skips to another video before the first is finished.,-1
174,"In the last few months, I have been overwhelmed with the amount of fake accounts of people I’m already friends with being created. The frustrating part is when you report it, Facebook doesn’t accept your reports, which is ridiculous. The end of this app seems to come closer every day because of the lack of quality control and the overwhelming policy control that they seem to care more about.","The frustrating part is when you report it, Facebook doesn’t accept your reports, which is ridiculous.",-1
175,I have been trying for over a week to get in touch with a living person and have gotten no response. I’ve called the numbers for them and it’s a recording telling you to use their help pages. The help pages have broken links and give error messages. This is now the worst service I’ve ever tried to deal with.,I’ve called the numbers for them and it’s a recording telling you to use their help pages.,-1
176,"I have been with Facebook for years three times Facebook disabled my page. I have written few objections regarding this unfairness decision. Also  instagram did the same two of my page’s disabled by instagram.
If you or Iranian the are working there without any doubt supporting this horrible regime. Most Iranian people aware of Facebook and instagram these actions are and it is against the human rights and free speech.
I am asking you to activate my accounts.",I have written few objections regarding this unfairness decision.,-1
177,"For some reason I am not getting my notifications on my app when someone comments on my post. I get a notification like hours later it’s been like this since forever.
I also trying to crest an avatar n it’s telling me to UPDATE FACEBOOK but it still can’t creat avatar.",I get a notification like hours later it’s been like this since forever.,-1
178,"On top of all the other garbage FB has going on, apparently now they will restrict accounts saying you violated T&C but won’t tell you why, it won’t show up under your “restrictions” section and no way to appeal. This has happened twice now. I have no reason given for why my account was restricted whatsoever.

And yes. They do sell your data. It’s literally been proven. So i expect to see the blatant lie that they don’t removed.",So i expect to see the blatant lie that they don’t removed.,-1
179,"Give facebook another update, I made another Facebook account & 2 seconds later the page “add your friends” pops up, there’s no exit button or anything, I literally can’t do anything, everytime I log in it happens every time, I’ve deleted facebook, reinstalled facebook over & over & it still does the same thing, I’ve restarted my phone, I turned it off completely & turned it back on & facebook is still doing the same thing, whatever recent update happened, messed the Facebook app on my end & now it’s broken, I’m stuck on that page, it’s like it’s frozen but it’s not, all I can do is add friends, nothing more & that’s not the point of facebook, I want to comment, I want to post & share posts, I want to watch videos, I want to edit my profile, I just want to do what everybody else can on their Facebook, I literally can’t do anything.","Give facebook another update, I made another Facebook account & 2 seconds later the page “add your friends” pops up, there’s no exit button or anything, I literally can’t do anything, everytime I log in it happens every time, I’ve deleted facebook, reinstalled facebook over & over & it still does the same thing, I’ve restarted my phone, I turned it off completely & turned it back on & facebook is still doing the same thing, whatever recent update happened, messed the Facebook app on my end & now it’s broken, I’m stuck on that page, it’s like it’s frozen but it’s not, all I can do is add friends, nothing more & that’s not the point of facebook, I want to comment, I want to post & share posts, I want to watch videos, I want to edit my profile, I just want to do what everybody else can on their Facebook, I literally can’t do anything.",-1
180,There are no ways to get in contact with any customer service reps to help with recovery of an account that has been hacked. So much info is loaded in these sites and no way to contact anyone when it’s changed by someone else. If someone changes your email and phone number you have no way to recover or log in to your account.,So much info is loaded in these sites and no way to contact anyone when it’s changed by someone else.,-1
181,"My account was locked because i went on vacation and checked my account. Got a technical error (on FBs end) for WEEKS when trying to confirm my identity. No one could help me, the support reps just link me to a nonsense non applicable article time and time. No one took 10 seconds to read my actual message in the live chat. Eventually gave up and dumped both FB and Insta. On to the vastly superior and way more engaging TikTok anyway.",No one took 10 seconds to read my actual message in the live chat.,-1
182,"if or when we get a friend's or messge rquest from someone we don't no- could we get a button: ""i don't know this person"" on anything whatever request u'd get? but, then, hopefully whoever created facebook/messeger would get something from if or whenever anyone on facebook and/or messeger has a request from someone they don't no then theire button would go straight to whoever created facebook
or /messeger?","but, then, hopefully whoever created facebook/messeger would get something from if or whenever anyone on facebook and/or messeger has a request from someone they don't no then theire button would go straight to whoever created facebook
or /messeger?",-1
183,They knocked me off of my main account I had since 2010 for no reason.. everything is lost all my pictures of my grandkids that I posted and everything else.. i’m hoping someone else opens up some other kind of site so I can join and forget about Facebook altogether.. they don’t even wanna help you!! it just froze and disappeared..,it just froze and disappeared..,-1
184,"I can no longer go to the post from the notification that the Facebook groups send. I get the notification but when I click on it, it goes to the group and just states “that’s all for now” and will not show me the post.","I get the notification but when I click on it, it goes to the group and just states “that’s all for now” and will not show me the post.",-1
185,"For the last two weeks you can’t get your notifications. I can see them on my phone notifications if they are tags or replies, but if I’m in Facebook I can’t see any new notifications. It’s shows me the ones from two weeks ago. And if I click on them so they aren’t highlighted, the next time I open the app they look new again. Ridiculous.",It’s shows me the ones from two weeks ago.,-1
186,"I am trying to permanently delete my Facebook account after many, MANY negative experiences on the platform as a result of META and it’s non-transparent business practices, as well as its irresponsible use of technology and the algorithmic “feeds” (oftentimes filled with misinformation).  I originally used the “social” platform to keep in touch with friends and family, (back when Facebook was used for this reason), but this is not the former Facebook, and I want out permanently.  However, your app will not even allow me to permanently deactivate my account even after I have provided you with both email accounts associated with my account as well as my phone number.  The next prompt I received was for my driver’s license or photo ID.  Are you kidding me???  Do you actually think I would trust your platform to provide you with this???  The answer is a resounding NO.  Your company doesn’t even have actual human beings to contact in order to help the people who utilize your platform.  You are welcome for the one star.  There was no option for ZERO stars, otherwise I’d have given that rating.  I look forward to your demise as a company, as you are not a positive force in this world.","I originally used the “social” platform to keep in touch with friends and family, (back when Facebook was used for this reason), but this is not the former Facebook, and I want out permanently.",-1
187,"I have never really had a problem with Facebook until the last 2-3 months. Suddenly, my posts that pop up in memories or TimeHop either no longer have the comments that were previously there, or in some cases, THE ENTIRE POST HAS DISAPPEARED. These are posts/comments from my daughter’s senior year of high school and cannot be recreated. I have reported these problems at least 5 times on the app and no one has responded or resolved the issue.",These are posts/comments from my daughter’s senior year of high school and cannot be recreated.,-1
188,I created a new account and everything’s fine my issue now is that I want to search for pages. not people and it doesn’t and give me an option of choosing pages instead of people,not people and it doesn’t and give me an option of choosing pages instead of people,-1
189,The Facebook dating has deleted my profile 3 times within just a couple days of having a profile. I gave up using it but decided to give it another go just a couple days ago. It randomly wanted me to do a video selfie verification. I kept trying to do it but it wouldn’t finish sending/processing which could’ve been my internet. No big deal I’ll just try again later right? Well the dating option on Facebook has completely disappeared now? I’m pretty frustrated.,I gave up using it but decided to give it another go just a couple days ago.,-1
190,It’s really irritating that I can’t check notifications for people that reply or like my comments on bigger posts. It’ll just take you to the post itself not the comment thread. Then if you’re really invested you can scroll down until you find the comment thread but often times it’s too time consuming to make worth it. If I log into Facebook from google I can check notifications just fine. Just not the app. Very frustrating and it’s been going on for at least a year that I can remember. Seems like a pretty glaring glitch to just decidedly not fix,Very frustrating and it’s been going on for at least a year that I can remember.,-1
191,"For starters, the ads have gotten out of control; too often it seems like their are more ads or suggestions than posts from pages I like and people I follow. Secondly, the layout of things seems to be getting further from simple and closer to annoying. Finally, The cover photo never stays in the position I put it in before saving. If you use a previous cover photo, already on FB, it creates a new photo post when it used to re share the original cover story post. It’s like things are going backwards.

P. S. I could actually go on, but these are the main three bugging me and I do not have all day, which is how long it would take to get into everything.","If you use a previous cover photo, already on FB, it creates a new photo post when it used to re share the original cover story post.",-1
